
2025-07-30 12:14:12 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 46.4s)
2025-07-30 12:14:12 | INFO     | database_manager     | Calculated performance: 84.7% (average of 2 cycles)
2025-07-30 12:14:12 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 2 total)
2025-07-30 12:14:12 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:84.7% × Q:0.0%)
2025-07-30 12:14:13 | INFO     | main                 | Detection triggered - Operator cycle time: 0.41s
2025-07-30 12:14:13 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-30 12:14:13 | INFO     | inference_engine     | Inference completed in 32.9ms - Status: DEFECT DETECTED
2025-07-30 12:14:13 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-30 12:14:13 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 46.9s)
2025-07-30 12:14:13 | INFO     | database_manager     | Calculated performance: 89.8% (average of 3 cycles)
2025-07-30 12:14:13 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 3 total)
2025-07-30 12:14:13 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:89.8% × Q:0.0%)
2025-07-30 12:14:13 | INFO     | main                 | Detection triggered - Operator cycle time: 0.32s
2025-07-30 12:14:13 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-30 12:14:13 | INFO     | inference_engine     | Inference completed in 30.0ms - Status: DEFECT DETECTED
2025-07-30 12:14:13 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-30 12:14:13 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 47.3s)
2025-07-30 12:14:13 | INFO     | database_manager     | Calculated performance: 92.4% (average of 4 cycles)
2025-07-30 12:14:13 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 4 total)
2025-07-30 12:14:13 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:92.4% × Q:0.0%)
2025-07-30 12:14:14 | INFO     | main                 | Detection triggered - Operator cycle time: 0.31s
2025-07-30 12:14:14 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-30 12:14:14 | INFO     | inference_engine     | Inference completed in 30.1ms - Status: DEFECT DETECTED
2025-07-30 12:14:14 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-30 12:14:14 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 47.7s)
2025-07-30 12:14:14 | INFO     | database_manager     | Calculated performance: 93.9% (average of 5 cycles)
2025-07-30 12:14:14 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 5 total)
2025-07-30 12:14:14 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:93.9% × Q:0.0%)
2025-07-30 12:14:14 | INFO     | main                 | Detection triggered - Operator cycle time: 0.37s
2025-07-30 12:14:14 | INFO     | inference_engine     | Inference completed in 28.0ms - Status: GOOD
2025-07-30 12:14:14 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 48.1s)
2025-07-30 12:14:14 | INFO     | database_manager     | Calculated performance: 94.9% (average of 6 cycles)
2025-07-30 12:14:14 | INFO     | database_manager     | Calculated quality: 16.7% (1 good parts of 6 total)
2025-07-30 12:14:14 | INFO     | database_manager     | Calculated OEE: 15.8% (A:100.0% × P:94.9% × Q:16.7%)
2025-07-30 12:14:53 | INFO     | main                 | Shift #1 ended
2025-07-30 12:14:53 | INFO     | main                 | Final shift metrics - Parts: 0, Defects: 0, OEE: 0.0%
